,id_EUMETSAT,url_tar
47,goes_14_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_14_imager_srf/rtcoef_goes_14_imager_srf.tar.gz
48,goes_15_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_15_imager_srf/rtcoef_goes_15_imager_srf.tar.gz
49,goes_4_sounder,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_4_sounder_srf/rtcoef_goes_4_sounder_srf.tar.gz
50,goes_5_sounder,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_5_sounder_srf/rtcoef_goes_5_sounder_srf.tar.gz
51,goes_6_sounder,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_6_sounder_srf/rtcoef_goes_6_sounder_srf.tar.gz
52,goes_7_sounder,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_7_sounder_srf/rtcoef_goes_7_sounder_srf.tar.gz
53,goes_8_sounder,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_8_sounder_srf/rtcoef_goes_8_sounder_srf.tar.gz
54,goes_9_sounder,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_9_sounder_srf/rtcoef_goes_9_sounder_srf.tar.gz
55,goes_10_sounder,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_10_sounder_srf/rtcoef_goes_10_sounder_srf.tar.gz
56,goes_11_sounder,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_11_sounder_srf/rtcoef_goes_11_sounder_srf.tar.gz
57,goes_12_sounder,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_12_sounder_srf/rtcoef_goes_12_sounder_srf.tar.gz
58,goes_13_sounder,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_13_sounder_srf/rtcoef_goes_13_sounder_srf.tar.gz
59,goes_14_sounder,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_14_sounder_srf/rtcoef_goes_14_sounder_srf.tar.gz
60,goes_15_sounder,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_15_sounder_srf/rtcoef_goes_15_sounder_srf.tar.gz
